Block,code,genotype,F,M,clutch,plant,treatment,nymph, Day 10 alive,Day 10 Dead,Day 10 Parasitised,Day 10 treatment death,Day 10 emerged,alive10,dead10
1,A3033.1,A,30,33,1,A,Control,32,0,2,N/A,0,30,30,2
1,B82.1,B,8,2,1,A,Control,7,0,0,N/A,0,7,7,0
1,C510.1,C,5,10,1,A,Control,26,0,2,N/A,0,24,24,2
1,D2513.3,D,25,13,1,H,Control,7,2,1,N/A,0,4,6,1
1,E732.1,E,7,32,1,G,Control,4,0,0,N/A,0,4,4,0
1,F1742.1,F,17,42,1,G,Control,13,0,2,N/A,0,11,11,2
1,F4217.1,F,42,17,1,H,Control,12,0,3,N/A,0,9,9,3
1,G1214.1,G,12,14,1,K,Control,16,0,0,N/A,0,16,16,0
1,H1829.1,H,18,29,1,G,Control,11,0,0,N/A,0,11,11,0
1,I2734.1,I,27,34,1,G,Control,17,2,1,N/A,0,14,16,1
1,I2734.2,I,27,34,1,H,Control,20,0,0,N/A,0,20,20,0
1,J389.1,J,38,9,1,G,Control,16,0,1,N/A,0,15,15,1
1,J938.1,J,9,38,1,H,Control,7,0,0,N/A,0,7,7,0
1,K1920.1,K,19,20,1,G,Control,22,0,0,N/A,0,22,22,0
2,L374.2,L,37,4,1,E,Control,7,0,0,N/A,0,7,7,0
2,M3849.1,M,38,49,1,E,Control,19,0,0,N/A,0,19,19,0
2,N4650.2,N,46,50,1,G,Control,6,0,0,N/A,0,6,6,0
2,N5046.2,N,50,46,1,E,Control,13,0,0,N/A,0,13,13,0
2,O229.1,O,2,29,1,G,Control,13,0,0,N/A,0,13,13,0
2,P313.1,P,31,3,1,G,Control,11,0,0,N/A,0,11,11,0
2,R4017.2,R,40,17,1,K,Control,13,0,0,N/A,0,13,13,0
2,S4518.1,S,45,18,1,N,Control,23,0,0,N/A,0,23,23,0
2,U418.1,U,41,8,2,Q,Control,8,0,0,N/A,0,8,8,0
3,AA2934.3,AA,34,29,1,J,Control,12,0,0,0,0,12,12,0
3,AA2934.3,AA,34,29,2,P,Control,6,0,0,0,0,6,6,0
3,AB1448.2,AB,14,48,1,P,Control,13,0,0,0,0,13,13,0
3,AC26.2,AC,2,6,1,J,Control,20,0,0,0,0,20,20,0
3,AD4711.3,AD,47,11,1,J,Control,8,0,0,0,0,8,8,0
